President,Start.String,Length,Party,Image.URL,Start.Month,Start.Day,Start.Year
Gerald Ford,"Sept. 30, 1976",10,Republican,n/a,9,30,1976
Jimmy Carter,"Sept. 30, 1977",12,Democrat,n/a,9,30,1977
Jimmy Carter,"Oct. 31, 1977",8,Democrat,n/a,10,31,1977
Jimmy Carter,"Nov. 30, 1977",8,Democrat,n/a,11,30,1977
Jimmy Carter,"Sept. 30, 1978",17,Democrat,n/a,9,30,1978
Jimmy Carter,"Sept. 30, 1979",11,Democrat,n/a,9,30,1979
Ronald Reagan,"Nov. 20, 1981",2,Republican,n/a,11,20,1981
Ronald Reagan,"Sept. 30, 1982",1,Republican,n/a,9,30,1982
Ronald Reagan,"Dec. 17, 1982",3,Republican,n/a,12,17,1982
Ronald Reagan,"Nov. 10, 1983",3,Republican,n/a,11,10,1983
Ronald Reagan,"Sept. 30, 1984",2,Republican,n/a,9,30,1984
Ronald Reagan,"Oct. 3, 1984",1,Republican,n/a,10,3,1984
Ronald Reagan,"Oct. 16, 1986",1,Republican,n/a,10,16,1986
Ronald Reagan,"Dec. 18, 1987",1,Republican,n/a,12,18,1987
George Bush,"Oct. 5, 1990",3,Republican,n/a,10,5,1990
Bill Clinton,"Nov. 13, 1995",5,Democrat,n/a,11,13,1995
Bill Clinton,"Dec. 15, 1995",21,Democrat,n/a,12,15,1995
Barack Obama,"Sept. 30, 2013",16,Democrat,n/a,9,30,2013
Donald Trump,"Jan. 19, 2018",2,Republican,n/a,1,19,2018
Donald Trump,"Feb. 18, 2018",1,Republican,n/a,2,18,2018
Donald Trump,"Dec. 21, 2018",34,Republican,n/a,12,21,2018